year,naics_4,dherfindahl
2011,325212,-1.19E-07
2012,325212,1.19E-07
2013,325212,0
2014,325212,0
2015,325212,0
2001,325320,-0.17343229
2002,325320,-0.065288186
2003,325320,0.003403038
2004,325320,0.15277627
2005,325320,-0.008247435
2006,325320,0.0249964
2007,325320,0.24744505
2008,325320,-0.006559312
2009,325320,-0.002562642
2010,325320,-0.004508138
2011,325320,-0.072491348
2012,325320,-0.015039384
2013,325320,0.001782239
2014,325320,0.027465761
2015,325320,-0.044998407
2001,325520,-0.022149086
2002,325520,0.21183407
2003,325520,-0.01061058
2004,325520,0.29217184
2005,325520,-0.022050798
2006,325520,-0.062957466
2007,325520,-0.070020378
2008,325520,-0.049843788
2009,325520,0.077049971
2010,325520,-0.018956661
2011,325520,-0.045909643
2012,325520,0.000302374
2013,325520,-0.036669731
2014,325520,-0.023782253
2015,325520,0.032733381
2001,325611,0.002632499
2002,325611,-0.031884551
2003,325611,-0.011728287
2004,325611,0.044526339
2005,325611,-0.00288409
2006,325611,0.02701205
2007,325611,0.019372463
2008,325611,-0.001417279
2009,325611,-0.010868132
2010,325611,-0.003650427
2011,325611,0.036046088
2012,325611,-0.002940714
2013,325611,-0.005465567
2014,325611,-0.002637267
2015,325611,-0.00663209
2001,325612,0.075415671
2002,325612,-0.022855073
2003,325612,-0.001083881
2004,325612,0.000776052
2005,325612,-0.049002141
2006,325612,0.008913398
2007,325612,0.003143609
2008,325612,0.004856437
2009,325612,0.002494067
2010,325612,-0.024857849
2011,325612,0.004699409
2012,325612,0.071542084
2013,325612,0.015938878
2014,325612,0.013817668
2015,325612,0.04255861
2001,325613,-0.000525355
2002,325613,-0.001219988
2003,325613,0.000633001
2004,325613,0.001512408
2005,325613,0.003151536
2006,325613,0.000490189
2007,325613,0.001520038
2008,325613,0.003813505
2009,325613,-0.003714681
2010,325613,0.000584602
2011,325613,0.004677534
2012,325613,-0.000951052
2013,325613,0.000573874
2014,325613,-0.000566721
2015,325613,-0.000564575
2001,325992,0.00629735
2002,325992,0.019179106
2003,325992,0.005571485
2004,325992,-0.005399227
2005,325992,0.051049709
2006,325992,0
2007,325992,0
2008,325992,0
2009,325992,0
2010,325992,0
2011,325992,0
2012,325992,0
2013,325992,0
2014,325992,0
2015,325992,0
2001,325998,0.002949819
2002,325998,-0.026447132
2003,325998,0.000998199
2004,325998,0.002683267
2005,325998,0.024437919
2006,325998,0.013385728
2007,325998,0.008382186
2008,325998,0.046574473
2009,325998,-0.028104961
2010,325998,-0.02099213
2011,325998,0.06220302
2012,325998,0.033032835
2013,325998,0.000739932
2014,325998,0.002633333
2015,325998,0.10067633
2001,326112,-0.20177653
2002,326112,0.038977414
2003,326112,0.080887437
2004,326112,-0.011221945
2005,326112,-0.002144098
2006,326112,-0.016866505
2007,326112,-0.037944913
2008,326112,0.067629516
2009,326112,-0.007185876
2010,326112,-0.030454516
2011,326112,0.061469793
2012,326112,-0.005483329
2013,326112,0.036799967
2014,326112,0.004597664
2015,326112,0.001905441
2001,326113,0.016225904
2002,326113,0.004342765
2003,326113,0.008850783
2004,326113,-0.009098411
2005,326113,0.026510119
2006,326113,-0.008883655
2007,326113,0.12917614
2008,326113,0.009242535
2009,326113,0.01048255
2010,326113,-0.071882367
2011,326113,0.019757688
2012,326113,0.055224061
2013,326113,0.00312835
2014,326113,0.043950438
2015,326113,0.00110364
2001,326140,0.035991967
2002,326140,0.016735375
2003,326140,0.008524239
2004,326140,-0.006558955
2005,326140,0.002475798
2006,326140,-0.006814957
2007,326140,0.006428123
2008,326140,0.1926111
2009,326140,-0.23927295
2010,326140,-0.042218447
2011,326140,-0.000575542
2012,326140,0.28206694
2013,326140,0
2014,326140,0
2015,326140,0
2001,326211,0.013073087
2002,326211,-0.00924319
2003,326211,0.015472233
2004,326211,0.11589682
2005,326211,0.004766107
2006,326211,-0.027152419
2007,326211,0.0417853
2008,326211,0.00158453
2009,326211,-0.024411798
2010,326211,-0.008393109
2011,326211,0.006111145
2012,326211,-0.026982069
2013,326211,0.023366034
2014,326211,-0.012729287
2015,326211,0.007789016
2001,326212,-1.19E-07
2002,326212,0
2003,326212,1.19E-07
2004,326212,-1.19E-07
2005,326212,1.19E-07
2006,326212,0
2007,326212,0
2008,326212,0
2009,326212,0
2010,326212,0
2011,326212,0
2012,326212,-1.19E-07
2013,326212,1.19E-07
2014,326212,0
2015,326212,0
2001,326299,0.061969504
2002,326299,0.004312277
2003,326299,0.040925026
2004,326299,0.184843
2005,326299,0.04536432
2006,326299,0.043044031
2007,326299,0.021028817
2008,326299,-0.028395534
2009,326299,0.036107421
2010,326299,-0.012322068
2011,326299,-0.030544817
2012,326299,0.043426156
2013,326299,0.01296258
2014,326299,-0.041539729
2015,326299,-0.039074004
2001,327212,0.002989888
2002,327212,-0.004507661
2003,327212,0.064126134
2004,327212,0
2005,327212,-1.19E-07
2006,327212,1.19E-07
2007,327212,0
2008,327212,-1.19E-07
2009,327212,1.19E-07
2010,327212,0
2011,327212,0
2012,327212,0
2013,327212,0
2014,327212,-1.19E-07
2015,327212,0
2001,327213,-0.016803324
2002,327213,0.005821466
2003,327213,0.005601645
2004,327213,0.052976906
2005,327213,0.19365877
2006,327213,0
2007,327213,0
2008,327213,0
2009,327213,0
2010,327213,0
2011,327213,0
2012,327213,0
2013,327213,-0.001986504
2014,327213,-0.000424981
2015,327213,-0.000318766
2001,327310,-0.007003844
2002,327310,0.021653831
2003,327310,0.002346486
2004,327310,0.000645846
2005,327310,-0.013753742
2006,327310,0.006840825
2007,327310,0.015935063
2008,327310,0.007695139
2009,327310,-0.002013058
2010,327310,-0.002727449
2011,327310,-0.04018864
2012,327310,-0.001247138
2013,327310,0.048762441
2014,327310,0.001219958
2015,327310,0.19631737
2001,327390,0.037716985
2002,327390,-0.001439273
2003,327390,-0.24369109
2004,327390,-0.022033513
2005,327390,0.024380863
2006,327390,0.032667875
2007,327390,-0.008696675
2008,327390,-0.039900273
2009,327390,-0.009488642
2010,327390,-0.000750273
2011,327390,0.43591458
2012,327390,0.010260105
2013,327390,-0.000176787
2014,327390,0.0193187
2015,327390,-0.007487536
2001,327992,0
2002,327992,0
2003,327992,0
2004,327992,0
2005,327992,0
2006,327992,-1.19E-07
2007,327992,1.19E-07
2008,327992,0
2009,327992,0
2010,327992,0
2011,327992,0
2012,327992,0
2013,327992,0
2014,327992,0
2015,327992,-0.49156845
2001,327993,0
2002,327993,0
2003,327993,0
2004,327993,-0.47181553
2005,327993,0.010953486
2006,327993,0.007981062
2007,327993,-0.033092618
2008,327993,0.021241188
2009,327993,0.000318468
2010,327993,0.005691111
2011,327993,0.004352927
2012,327993,0.008064508
2013,327993,-0.002081275
2014,327993,0.011161864
2015,327993,0.008323789
2001,331221,0.020128161
2002,331221,0.074514747
2003,331221,-0.0115408
2004,331221,0.002432048
2005,331221,0.017215788
2006,331221,0.006681234
2007,331221,0.14276549
2008,331221,-0.025237858
2009,331221,-0.015143752
2010,331221,0.081355929
2011,331221,-0.020451903
2012,331221,-0.034627736
2013,331221,0.07984668
2014,331221,-0.002024353
2015,331221,-0.048425972
2001,331315,0.057971865
2002,331315,0.083988726
2003,331315,0.006895721
2004,331315,0.1569699
2005,331315,-0.089848876
2006,331315,0.43497521
2007,331315,-0.21776545
2008,331315,0.2376976
2009,331315,-0.46189523
2010,331315,-0.020749569
2011,331315,0.05967319
2012,331315,-0.1930145
2013,331315,-0.04787299
2014,331315,0.11034927
2015,331315,-0.040362358
2001,331420,-0.052056819
2002,331420,-0.011406213
2003,331420,-0.006800085
2004,331420,-0.049833924
2005,331420,0.007068068
2006,331420,0.00681138
2007,331420,0.008745045
2008,331420,0.048175424
2009,331420,0.02517572
2010,331420,-0.031566918
2011,331420,-0.004702866
2012,331420,0.021959007
2013,331420,0.066917807
2014,331420,-0.022944599
2015,331420,-0.037805587
2001,332111,0.11552751
2002,332111,-0.11199263
2003,332111,0.17602769
2004,332111,-0.029056489
2005,332111,-0.012295365
2006,332111,0.013490677
2007,332111,0.13714725
2008,332111,-0.068522394
2009,332111,-0.003579617
2010,332111,0.06229943
2011,332111,0.03741312
2012,332111,0.068790615
2013,332111,0.018728733
2014,332111,0.017092109
2015,332111,0.021957695
2001,332216,0.067896187
2002,332216,0.005744577
2003,332216,-0.008285999
2004,332216,-0.026063085
2005,332216,-0.03006506
2006,332216,0.031922638
2007,332216,0.057335734
2008,332216,-0.017345369
2009,332216,-0.01530093
2010,332216,-0.008482158
2011,332216,-0.02923739
2012,332216,-0.012125432
2013,332216,0.013409495
2014,332216,0.011957943
2015,332216,0.02273339
2001,332312,0.002795816
2002,332312,0.009406492
2003,332312,0.028865948
2004,332312,0.009764567
2005,332312,-0.017065391
2006,332312,-0.007142723
2007,332312,-0.019576907
2008,332312,0.000219569
2009,332312,0.087606296
2010,332312,0.064159483
2011,332312,0.01157257
2012,332312,0.10448962
2013,332312,0.098973304
2014,332312,-0.094848722
2015,332312,-0.10559079
2001,332313,0.10606888
2002,332313,0.13650328
2003,332313,0.00271672
2004,332313,0.003747404
2005,332313,-0.006046712
2006,332313,0.49902254
2007,332313,0
2008,332313,0
2009,332313,0
2010,332313,0
2011,332313,0
2012,332313,0
2013,332313,0
2014,332313,0
2015,332313,0
2001,332321,0.059618384
2002,332321,0.005867273
2003,332321,0.015963852
2004,332321,0.055671781
2005,332321,-0.029744387
2006,332321,0.007447124
2007,332321,0.077748686
2008,332321,-0.14626265
2009,332321,0.023263723
2010,332321,0.003198624
2011,332321,0.038576007
2012,332321,-0.000990182
2013,332321,-0.05200541
2014,332321,0.013199776
2015,332321,-0.018980682
2001,332410,-0.016881347
2002,332410,0.018234372
2003,332410,0.011252284
2004,332410,0.25474358
2005,332410,0
2006,332410,0
2007,332410,0
2008,332410,-0.25080526
2009,332410,-0.15252632
2010,332410,-0.11641341
2011,332410,0.27869356
2012,332410,0.058949232
2013,332410,0.014354944
2014,332410,0.028385937
2015,332410,0.058304727
2001,332431,-0.003645957
2002,332431,0.010281861
2003,332431,-0.042565793
2004,332431,0.026979089
2005,332431,0.031048536
2006,332431,-0.069691151
2007,332431,0.034119725
2008,332431,0.033576816
2009,332431,-0.0016298
2010,332431,0.000805348
2011,332431,-0.002178192
2012,332431,-0.001735061
2013,332431,-0.002625018
2014,332431,-0.058396667
2015,332431,-0.038431495
2001,332613,0
2002,332613,0
2003,332613,0
2004,332613,0
2005,332613,0
2006,332613,0
2007,332613,0
2008,332613,0
2009,332613,-1.19E-07
2010,332613,1.19E-07
2011,332613,0
2012,332613,0
2013,332613,0
2014,332613,0
2015,332613,-1.19E-07
2001,332912,0.01295048
2002,332912,0.011923194
2003,332912,-0.10948211
2004,332912,-0.02027607
2005,332912,0.003875554
2006,332912,0.005422294
2007,332912,-0.00925827
2008,332912,0.017812848
2009,332912,-0.008880138
2010,332912,-0.018427789
2011,332912,0.021333933
2012,332912,0.010668397
2013,332912,-0.023138404
2014,332912,-0.001081467
2015,332912,0.000865519
2001,332913,0
2002,332913,-1.19E-07
2003,332913,1.19E-07
2004,332913,0
2005,332913,0
2006,332913,0
2007,332913,0
2008,332913,0
2009,332913,0
2010,332913,0
2011,332913,0
2012,332913,0
2013,332913,0
2014,332913,0
2015,332913,0
2001,332919,0
2002,332919,0
2003,332919,0
2004,332919,0
2005,332919,-1.19E-07
2006,332919,1.19E-07
2007,332919,0
2008,332919,0
2009,332919,0
2010,332919,0
2011,332919,0
2012,332919,0
2013,332919,-1.19E-07
2014,332919,0
2015,332919,1.19E-07
2001,332991,0.005630851
2002,332991,0.019902676
2003,332991,-0.006866068
2004,332991,0.023221403
2005,332991,0.017223477
2006,332991,0.01838237
2007,332991,0.009929478
2008,332991,-0.024970502
2009,332991,-0.021426409
2010,332991,-0.009664863
2011,332991,-0.017245442
2012,332991,0.00959906
2013,332991,0.02622357
2014,332991,0.004957765
2015,332991,-0.00796634
2001,332993,0
2002,332993,0
2003,332993,0
2004,332993,0
2005,332993,0
2006,332993,0
2007,332993,0
2008,332993,0
2009,332993,0
2010,332993,-1.19E-07
2011,332993,1.19E-07
2012,332993,0
2013,332993,-1.19E-07
2014,332993,1.19E-07
2015,332993,-1.19E-07
2001,333111,0.005041391
2002,333111,-4.70281E-05
2003,333111,-3.95179E-05
2004,333111,0.00518325
2005,333111,0.007579029
2006,333111,-0.006019324
2007,333111,-0.005233914
2008,333111,0.005568862
2009,333111,-0.001194745
2010,333111,0.002704799
2011,333111,0.002437145
2012,333111,-0.050669014
2013,333111,0.050435066
2014,333111,0.002425939
2015,333111,-0.004450887
2001,333120,0.03025794
2002,333120,-0.019688606
2003,333120,-0.005568206
2004,333120,0.011150002
2005,333120,0.006273568
2006,333120,0.002895773
2007,333120,0.005909026
2008,333120,0.03950429
2009,333120,-0.031703353
2010,333120,-0.008742094
2011,333120,0.042097807
2012,333120,0.050839186
2013,333120,-0.024180174
2014,333120,0.020786822
2015,333120,-0.035845876
2001,333131,-0.002869427
2002,333131,0.001094461
2003,333131,-0.018967867
2004,333131,-0.025381565
2005,333131,0.011636078
2006,333131,-0.005651414
2007,333131,-0.11518812
2008,333131,-0.013316453
2009,333131,-0.086265564
2010,333131,-0.014538616
2011,333131,0.58892846
2012,333131,-1.19E-07
2013,333131,1.19E-07
2014,333131,0
2015,333131,0
2001,333132,0.001981251
2002,333132,0.01078821
2003,333132,-0.009077527
2004,333132,0.001141168
2005,333132,0.019250207
2006,333132,0.020012222
2007,333132,0.009700507
2008,333132,0.028234214
2009,333132,0.040411323
2010,333132,-0.015662074
2011,333132,-0.021839067
2012,333132,0.029182509
2013,333132,0.029083163
2014,333132,-0.010394469
2015,333132,-0.002961174
2001,333413,-0.006962121
2002,333413,0.054081738
2003,333413,0.024360299
2004,333413,0.013090134
2005,333413,-0.001305223
2006,333413,-0.061508715
2007,333413,-0.13142335
2008,333413,-0.000896037
2009,333413,-0.006556809
2010,333413,0.17185563
2011,333413,0.014198482
2012,333413,-0.005698144
2013,333413,0.054712296
2014,333413,-0.006331742
2015,333413,-0.068365037
2001,333415,0.018618837
2002,333415,0.009205639
2003,333415,0.004665509
2004,333415,0.006785438
2005,333415,0.019776419
2006,333415,0.022020444
2007,333415,0.049379364
2008,333415,0.013807267
2009,333415,-0.024213016
2010,333415,0.034683287
2011,333415,0.025340438
2012,333415,0.008572966
