year,naics_4,dmarkup
2010,326212,-0.015346766
2011,326212,0.001773477
2012,326212,-0.03986609
2013,326212,0.019310117
2014,326212,0.031709909
2015,326212,0.041482568
2001,326299,0.062641263
2002,326299,-0.017535925
2003,326299,0.02760613
2004,326299,0.043018937
2005,326299,-0.025976181
2006,326299,0.035871863
2007,326299,0.001777172
2008,326299,0.00436759
2009,326299,0.022016883
2010,326299,0.011289597
2011,326299,-0.023793578
2012,326299,0.05113399
2013,326299,0.025055766
2014,326299,-0.011542439
2015,326299,0.01912272
2001,327212,-0.065542817
2002,327212,-0.03971374
2003,327212,-0.027750015
2004,327212,-0.013029575
2005,327212,-0.049810946
2006,327212,0.033249795
2007,327212,0.022226334
2008,327212,-0.03907305
2009,327212,0.028672516
2010,327212,0.037934542
2011,327212,-0.003022313
2012,327212,0.041586399
2013,327212,0.003534675
2014,327212,-0.015943885
2015,327212,0.007023215
2001,327213,0.002434492
2002,327213,-0.023661852
2003,327213,-0.032166958
2004,327213,-0.007265687
2005,327213,0.021836877
2006,327213,-0.022669315
2007,327213,0.030266285
2008,327213,0.002678633
2009,327213,-0.011538386
2010,327213,-0.005995154
2011,327213,-0.020820856
2012,327213,0.007385969
2013,327213,-0.013276577
2014,327213,0.002924442
2015,327213,-0.006960154
2001,327310,0.003280759
2002,327310,-0.002324343
2003,327310,-0.004029751
2004,327310,0.015013456
2005,327310,0.005556226
2006,327310,-0.035365582
2007,327310,0.007806182
2008,327310,-0.011674047
2009,327310,-0.01112318
2010,327310,-0.0043782
2011,327310,-0.028157353
2012,327310,0.003501058
2013,327310,-0.013416648
2014,327310,0.019974828
2015,327310,0.055827498
2001,327390,0.031779647
2002,327390,0.012310505
2003,327390,-0.050033689
2004,327390,0.031073093
2005,327390,0.06281662
2006,327390,-0.050221443
2007,327390,0.011662126
2008,327390,-0.071389794
2009,327390,-0.007650971
2010,327390,0.004113793
2011,327390,0.022990942
2012,327390,0.016070604
2013,327390,-0.00190568
2014,327390,0.020452023
2015,327390,0.027130127
2001,327992,-0.076615572
2002,327992,-0.054556549
2003,327992,0.018402159
2004,327992,0.0273875
2005,327992,-0.028311729
2006,327992,-0.03692925
2007,327992,0.037902653
2008,327992,-0.02535677
2009,327992,0.017191231
2010,327992,0.021977425
2011,327992,-0.001579285
2012,327992,0.036941051
2013,327992,0.026567578
2014,327992,-0.049735188
2015,327992,-0.037253618
2001,327993,-0.008312345
2002,327993,-0.029617071
2003,327993,-0.006548286
2004,327993,0.019300818
2005,327993,0.006929278
2006,327993,0.000207424
2007,327993,0.03991735
2008,327993,-0.040391326
2009,327993,0.028221965
2010,327993,0.014183044
2011,327993,-0.005205751
2012,327993,-0.021270752
2013,327993,0.018445611
2014,327993,-0.005308628
2015,327993,0.036850691
2001,331221,0.01266849
2002,331221,-0.005689621
2003,331221,0.008797288
2004,331221,0.010764837
2005,331221,-0.036263704
2006,331221,-0.001534343
2007,331221,0.006627917
2008,331221,0.00489974
2009,331221,0.015611053
2010,331221,0.005642057
2011,331221,-0.013618231
2012,331221,0.014025211
2013,331221,0.014787078
2014,331221,-0.034540772
2015,331221,0.043750644
2001,331315,-0.040251493
2002,331315,0.040053844
2003,331315,-0.007995963
2004,331315,0.026255727
2005,331315,-0.007270575
2006,331315,-0.050326467
2007,331315,0.068483233
2008,331315,-0.024464369
2009,331315,0.060442924
2010,331315,-0.025163889
2011,331315,-0.007857204
2012,331315,0.01623261
2013,331315,-0.015362501
2014,331315,0.008826494
2015,331315,-0.016469836
2001,331420,0.011795402
2002,331420,-0.02823019
2003,331420,-0.015132546
2004,331420,-0.006696701
2005,331420,0.003342152
2006,331420,0.008721829
2007,331420,-0.020190835
2008,331420,-0.007156491
2009,331420,0.020078063
2010,331420,-0.022222519
2011,331420,-0.007382155
2012,331420,0.002967715
2013,331420,0.007323861
2014,331420,-0.009982467
2015,331420,0.00856173
2001,332111,0.008795738
2002,332111,-0.010315776
2003,332111,-0.007837892
2004,332111,-0.013682127
2005,332111,0.024931669
2006,332111,0.027546406
2007,332111,-0.035638094
2008,332111,-0.006984353
2009,332111,0.008484125
2010,332111,-0.004139781
2011,332111,-0.003774405
2012,332111,-0.017126083
2013,332111,0.009606838
2014,332111,-0.00832212
2015,332111,0.008752346
2001,332216,0.047654867
2002,332216,-0.026422262
2003,332216,-0.028736353
2004,332216,-0.004164457
2005,332216,-0.033735633
2006,332216,0.001960039
2007,332216,0.078198433
2008,332216,-0.004998088
2009,332216,0.016605735
2010,332216,0.020162821
2011,332216,0.015381813
2012,332216,0.00612402
2013,332216,0.028814793
2014,332216,0.02729094
2015,332216,0.03538537
2001,332312,-0.010391474
2002,332312,0.027712226
2003,332312,0.026828885
2004,332312,0.026143551
2005,332312,-0.036484241
2006,332312,0.000236988
2007,332312,0.010194302
2008,332312,-0.003450155
2009,332312,0.009968281
2010,332312,-0.039954782
2011,332312,-0.049085617
2012,332312,0.049332142
2013,332312,0.01039803
2014,332312,-0.058520079
2015,332312,-0.041935563
2001,332313,0.032703042
2002,332313,0.035274863
2003,332313,-0.019525409
2004,332313,0.004564643
2005,332313,-0.048606396
2006,332313,-0.038248181
2007,332313,0.059384227
2008,332313,-0.023662567
2009,332313,0.022852063
2010,332313,-0.016394496
2011,332313,0.000498176
2012,332313,0.024351835
2013,332313,-0.003549099
2014,332313,-8.91685E-05
2015,332313,-0.010872483
2001,332321,0.057718515
2002,332321,0.013305426
2003,332321,-0.016874552
2004,332321,0.008776784
2005,332321,-0.012809277
2006,332321,-0.016829729
2007,332321,-0.016543508
2008,332321,-0.038284898
2009,332321,0.008676291
2010,332321,-0.03036654
2011,332321,0.011631131
2012,332321,0.015489221
2013,332321,0.00928998
2014,332321,0.021342039
2015,332321,0.026848316
2001,332410,-0.070942163
2002,332410,-0.018941164
2003,332410,0.003221273
2004,332410,0.08784914
2005,332410,-0.062821031
2006,332410,0.001493216
2007,332410,-0.000821471
2008,332410,0.079357624
2009,332410,0.052860618
2010,332410,-0.048323154
2011,332410,-0.002018571
2012,332410,-0.016232729
2013,332410,-0.026047587
2014,332410,-0.003256083
2015,332410,-0.012624264
2001,332431,-0.025078893
2002,332431,0.018865585
2003,332431,-0.001504183
2004,332431,0.012462378
2005,332431,-0.009267449
2006,332431,-0.012316227
2007,332431,0.013971567
2008,332431,0.0072819
2009,332431,0.009718418
2010,332431,0.007333398
2011,332431,-0.002230167
2012,332431,-0.00351882
2013,332431,0.005148768
2014,332431,0.004298806
2015,332431,0.017787218
